No,Date,Subject,Lab
1,17 Jan 2020,Quantum Mechanics,Lab [Link](https://ursa.com/lab01.pdf) Demo [Link](https://www.youtube.com/watch?v=Lm9SZf2XFCc)
2,24 Jan 2020,Classical Mechanics,Lab [Link](https://ursa.com/lab02.pdf) Demo [Link](https://www.youtube.com/watch?v=83QCm3LkuEg)
3,31 Jan 2020,Thermodynamics,Lab [Link](https://ursa.com/lab03.pdf)
4,7 Feb 2020,Electromagnetism,Lab [Link](https://ursa.com/lab04.pdf)
5,14 Feb 2020,Statistical Mechanics,Lab [Link](https://ursa.com/lab05.pdf)
6,21 Feb 2020,Guest lecture,Mini-project/Coursework [Link](https://ursa.com/mini_project.pdf)
7,28 Feb 2020,Optics,Lab [Link](https://ursa.com/lab06.pdf)
8,6 Mar 2020,Special Relativity,Lab [Link](https://ursa.com/lab07.pdf)
9,13 Mar 2020,Test 1 (Units 1-5),[Link](https://ursa.com/test01.pdf)
10,20 Mar 2020,General Relativity,Lab [Link](https://ursa.com/lab08.pdf)
11,27 Mar 2020,Particle Physics,Lab [Link](https://ursa.com/lab09.pdf)
12,3 April 2020,Nuclear Physics,Lab [Link](https://ursa.com/lab10.pdf)
13,10 April 2020,Condensed Matter Physics,
14,Week beginning 27 April 2020,Easter Break,
15,Week beginning 4 May 2020 (TBC),Coursework Hand-in [Link](https://ursa.com/coursework.pdf),
